jobtitle,company,city,state,Hadoop,Spark,R,SAS,Stata,Java,Perl,Python,SQL,NoSQL,Tableau,Excel,Machine Learning,Amazon Web Service
Data Scientist/Big Data,Aroghia,Portland,OR,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Big Data Lead(linkedin is a Key),IdeaHelix,San Francisco,CA,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Data Security Team Lead,"Harvard Partners, LLP",Hartford,CT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Senior Data Engineer,AETEA Information Technology Inc,Plymouth Meeting,PA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Sr. Consultant Data Center,PSG Global Solutions,Philadelphia,PA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Principal Data Scientist,Veear,Holmdel,NJ,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Data Modeler,Sumeru,Jersey City,NJ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Data Integration Developer - Analytics,"Endure Technology Solutions, Inc.",Union,NJ,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Sr. Big Data DevOps,PT Systems,Newport Beach,CA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Data warehouse specialist,Bridget Morgan llc,Trumbull,CT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Data Engineer,SNI Companies dba SNI Technology,Cambridge,MA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Data Solutions Director,Business Centric Technology,Fort Worth,TX,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Data and Analytics Solution Developer,"Superior Consulting Services, LLC",Burnsville,MN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Java Architect - Big Data,Comcentric Inc.,Englewood,CO,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Enterprise Program Manager - Business Intelligence and Data Warehouse,Jacobson Staffing Inc,Saint Louis,MO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
